emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.04E-35,0
0.65153813,0.13719279,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7097048,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.19E-35,0
0.79169285,0.12800872,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7083924,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.79E-36,0
0.96427315,0.97720885,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6580964,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.36E-34,0
0.86312485,0.15773728,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.68445194,1
-0.99999154,-0.9999865,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.38E-35,0
0.5502441,0.4602287,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.70199704,1
-0.9999989,0.9999778,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.63E-27,0
0.5370975,0.42162997,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6959568,1
-0.78118944,0.26388714,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.002304462,0
0.6114051,0.99699867,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.5146049,1
-0.99401927,-0.9890964,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.05E-33,0
0.6734102,0.9973334,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.59845,1
