emb_x,emb_y,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
-20,-20,0,1,0,0,0,0,0,0,0,0
-20,-19.74842767,0,1,0,0,0,0,0,0,0,0
-20,-19.49685535,0,1,0,0,0,0,0,0,0,0
-20,-19.24528302,0,1,0,0,0,0,0,0,0,0
-20,-18.99371069,0,1,0,0,0,0,0,0,0,0
-20,-18.74213836,0,1,0,0,0,0,0,0,0,0
-20,-18.49056604,0,1,0,0,0,0,0,0,0,0
-20,-18.23899371,0,1,0,0,0,0,0,0,0,0
-20,-17.98742138,0,1,0,0,0,0,0,0,0,0
-20,-17.73584906,0,1,0,0,0,0,0,0,0,0
-20,-17.48427673,0,1,0,0,0,0,0,0,0,0
-20,-17.2327044,0,1,0,0,0,0,0,0,0,0
-20,-16.98113208,0,1,0,0,0,0,0,0,0,0
-20,-16.72955975,0,1,0,0,0,0,0,0,0,0
-20,-16.47798742,0,1,0,0,0,0,0,0,0,0
-20,-16.22641509,0,1,0,0,0,0,0,0,0,0
-20,-15.97484277,0,1,0,0,0,0,0,0,0,0
-20,-15.72327044,0,1,0,0,0,0,0,0,0,0
-20,-15.47169811,0,1,0,0,0,0,0,0,0,0
-20,-15.22012579,0,1,0,0,0,0,0,0,0,0
-20,-14.96855346,0,1,0,0,0,0,0,0,0,0
-20,-14.71698113,0,1,0,0,0,0,0,0,0,0
-20,-14.46540881,0,1,0,0,0,0,0,0,0,0
-20,-14.21383648,0,1,0,0,0,0,0,0,0,0
-20,-13.96226415,0,1,0,0,0,0,0,0,0,0
-20,-13.71069182,0,1,0,0,0,0,0,0,0,0
-20,-13.4591195,0,1,0,0,0,0,0,0,0,0
-20,-13.20754717,0,1,0,0,0,0,0,0,0,0
-20,-12.95597484,0,1,0,0,0,0,0,0,0,0
-20,-12.70440252,0,1,0,0,0,0,0,0,0,0
-20,-12.45283019,0,1,0,0,0,0,0,0,0,0
-20,-12.20125786,0,1,0,0,0,0,0,0,0,0
-20,-11.94968553,0,1,0,0,0,0,0,0,0,0
-20,-11.69811321,0,1,0,0,0,0,0,0,0,0
-20,-11.44654088,0,1,0,0,0,0,0,0,0,0
-20,-11.19496855,0,1,0,0,0,0,0,0,0,0
-20,-10.94339623,0,1,0,0,0,0,0,0,0,0
-20,-10.6918239,0,1,0,0,0,0,0,0,0,0
-20,-10.44025157,0,1,0,0,0,0,0,0,0,0
-20,-10.18867925,0,1,0,0,0,0,0,0,0,0
-20,-9.937106918,0,1,0,0,0,0,0,0,0,0
-20,-9.685534591,0,1,0,0,0,0,0,0,0,0
-20,-9.433962264,0,1,0,0,0,0,0,0,0,0
-20,-9.182389937,0,1,0,0,0,0,0,0,0,0
-20,-8.93081761,0,1,0,0,0,0,0,0,0,0
-20,-8.679245283,0,1,0,0,0,0,0,0,0,0
-20,-8.427672956,0,1,0,0,0,0,0,0,0,0
-20,-8.176100629,0,1,0,0,0,0,0,0,0,0
-20,-7.924528302,0,1,0,0,0,0,0,0,0,0
-20,-7.672955975,0,1,0,0,0,0,0,0,0,0
-20,-7.421383648,0,1,0,0,0,0,0,0,0,0
-20,-7.169811321,0,1,0,0,0,0,0,0,0,0
-20,-6.918238994,0,1,0,0,0,0,0,0,0,0
-20,-6.666666667,0,1,0,0,0,0,0,0,0,0
-20,-6.41509434,0,1,0,0,0,0,0,0,0,0
-20,-6.163522013,0,1,0,0,0,0,0,0,0,0
-20,-5.911949686,0,1,0,0,0,0,0,0,0,0
