,emb_x,emb_y
0,-20.0,-20.0
1,-20.0,-18.974358974358974
2,-20.0,-17.94871794871795
3,-20.0,-16.923076923076923
4,-20.0,-15.897435897435898
5,-20.0,-14.871794871794872
6,-20.0,-13.846153846153847
7,-20.0,-12.820512820512821
8,-20.0,-11.794871794871796
9,-20.0,-10.76923076923077
10,-20.0,-9.743589743589745
11,-20.0,-8.717948717948719
12,-20.0,-7.692307692307693
13,-20.0,-6.666666666666668
14,-20.0,-5.641025641025642
15,-20.0,-4.615384615384617
16,-20.0,-3.589743589743591
17,-20.0,-2.5641025641025657
18,-20.0,-1.53846153846154
19,-20.0,-0.5128205128205146
20,-20.0,0.512820512820511
21,-20.0,1.5384615384615365
22,-20.0,2.564102564102562
23,-20.0,3.5897435897435876
24,-20.0,4.615384615384613
25,-20.0,5.641025641025639
26,-20.0,6.666666666666664
27,-20.0,7.69230769230769
28,-20.0,8.717948717948715
29,-20.0,9.743589743589741
30,-20.0,10.769230769230766
31,-20.0,11.794871794871792
32,-20.0,12.820512820512818
33,-20.0,13.84615384615384
34,-20.0,14.871794871794869
35,-20.0,15.897435897435898
36,-20.0,16.92307692307692
37,-20.0,17.948717948717942
38,-20.0,18.97435897435897
39,-20.0,20.0
40,-18.974358974358974,-20.0
41,-18.974358974358974,-18.974358974358974
42,-18.974358974358974,-17.94871794871795
43,-18.974358974358974,-16.923076923076923
44,-18.974358974358974,-15.897435897435898
45,-18.974358974358974,-14.871794871794872
46,-18.974358974358974,-13.846153846153847
47,-18.974358974358974,-12.820512820512821
48,-18.974358974358974,-11.794871794871796
49,-18.974358974358974,-10.76923076923077
50,-18.974358974358974,-9.743589743589745
51,-18.974358974358974,-8.717948717948719
52,-18.974358974358974,-7.692307692307693
53,-18.974358974358974,-6.666666666666668
54,-18.974358974358974,-5.641025641025642
55,-18.974358974358974,-4.615384615384617
56,-18.974358974358974,-3.589743589743591
57,-18.974358974358974,-2.5641025641025657
58,-18.974358974358974,-1.53846153846154
59,-18.974358974358974,-0.5128205128205146
60,-18.974358974358974,0.512820512820511
61,-18.974358974358974,1.5384615384615365
62,-18.974358974358974,2.564102564102562
63,-18.974358974358974,3.5897435897435876
64,-18.974358974358974,4.615384615384613
65,-18.974358974358974,5.641025641025639
66,-18.974358974358974,6.666666666666664
67,-18.974358974358974,7.69230769230769
68,-18.974358974358974,8.717948717948715
69,-18.974358974358974,9.743589743589741
70,-18.974358974358974,10.769230769230766
71,-18.974358974358974,11.794871794871792
72,-18.974358974358974,12.820512820512818
73,-18.974358974358974,13.84615384615384
74,-18.974358974358974,14.871794871794869
75,-18.974358974358974,15.897435897435898
76,-18.974358974358974,16.92307692307692
77,-18.974358974358974,17.948717948717942
78,-18.974358974358974,18.97435897435897
79,-18.974358974358974,20.0
80,-17.94871794871795,-20.0
81,-17.94871794871795,-18.974358974358974
82,-17.94871794871795,-17.94871794871795
83,-17.94871794871795,-16.923076923076923
84,-17.94871794871795,-15.897435897435898
85,-17.94871794871795,-14.871794871794872
86,-17.94871794871795,-13.846153846153847
87,-17.94871794871795,-12.820512820512821
88,-17.94871794871795,-11.794871794871796
89,-17.94871794871795,-10.76923076923077
90,-17.94871794871795,-9.743589743589745
91,-17.94871794871795,-8.717948717948719
92,-17.94871794871795,-7.692307692307693
93,-17.94871794871795,-6.666666666666668
94,-17.94871794871795,-5.641025641025642
95,-17.94871794871795,-4.615384615384617
96,-17.94871794871795,-3.589743589743591
97,-17.94871794871795,-2.5641025641025657
98,-17.94871794871795,-1.53846153846154
99,-17.94871794871795,-0.5128205128205146
100,-17.94871794871795,0.512820512820511
101,-17.94871794871795,1.5384615384615365
102,-17.94871794871795,2.564102564102562
103,-17.94871794871795,3.5897435897435876
104,-17.94871794871795,4.615384615384613
105,-17.94871794871795,5.641025641025639
106,-17.94871794871795,6.666666666666664
107,-17.94871794871795,7.69230769230769
108,-17.94871794871795,8.717948717948715
109,-17.94871794871795,9.743589743589741
110,-17.94871794871795,10.769230769230766
111,-17.94871794871795,11.794871794871792
112,-17.94871794871795,12.820512820512818
113,-17.94871794871795,13.84615384615384
114,-17.94871794871795,14.871794871794869
115,-17.94871794871795,15.897435897435898
116,-17.94871794871795,16.92307692307692
117,-17.94871794871795,17.948717948717942
118,-17.94871794871795,18.97435897435897
119,-17.94871794871795,20.0
120,-16.923076923076923,-20.0
121,-16.923076923076923,-18.974358974358974
122,-16.923076923076923,-17.94871794871795
123,-16.923076923076923,-16.923076923076923
124,-16.923076923076923,-15.897435897435898
125,-16.923076923076923,-14.871794871794872
126,-16.923076923076923,-13.846153846153847
127,-16.923076923076923,-12.820512820512821
128,-16.923076923076923,-11.794871794871796
129,-16.923076923076923,-10.76923076923077
130,-16.923076923076923,-9.743589743589745
131,-16.923076923076923,-8.717948717948719
132,-16.923076923076923,-7.692307692307693
133,-16.923076923076923,-6.666666666666668
134,-16.923076923076923,-5.641025641025642
135,-16.923076923076923,-4.615384615384617
136,-16.923076923076923,-3.589743589743591
137,-16.923076923076923,-2.5641025641025657
138,-16.923076923076923,-1.53846153846154
139,-16.923076923076923,-0.5128205128205146
140,-16.923076923076923,0.512820512820511
141,-16.923076923076923,1.5384615384615365
142,-16.923076923076923,2.564102564102562
143,-16.923076923076923,3.5897435897435876
144,-16.923076923076923,4.615384615384613
145,-16.923076923076923,5.641025641025639
146,-16.923076923076923,6.666666666666664
147,-16.923076923076923,7.69230769230769
148,-16.923076923076923,8.717948717948715
149,-16.923076923076923,9.743589743589741
150,-16.923076923076923,10.769230769230766
151,-16.923076923076923,11.794871794871792
152,-16.923076923076923,12.820512820512818
153,-16.923076923076923,13.84615384615384
154,-16.923076923076923,14.871794871794869
155,-16.923076923076923,15.897435897435898
156,-16.923076923076923,16.92307692307692
157,-16.923076923076923,17.948717948717942
158,-16.923076923076923,18.97435897435897
159,-16.923076923076923,20.0
160,-15.897435897435898,-20.0
161,-15.897435897435898,-18.974358974358974
162,-15.897435897435898,-17.94871794871795
163,-15.897435897435898,-16.923076923076923
164,-15.897435897435898,-15.897435897435898
165,-15.897435897435898,-14.871794871794872
166,-15.897435897435898,-13.846153846153847
167,-15.897435897435898,-12.820512820512821
168,-15.897435897435898,-11.794871794871796
169,-15.897435897435898,-10.76923076923077
170,-15.897435897435898,-9.743589743589745
171,-15.897435897435898,-8.717948717948719
172,-15.897435897435898,-7.692307692307693
173,-15.897435897435898,-6.666666666666668
174,-15.897435897435898,-5.641025641025642
175,-15.897435897435898,-4.615384615384617
176,-15.897435897435898,-3.589743589743591
177,-15.897435897435898,-2.5641025641025657
178,-15.897435897435898,-1.53846153846154
179,-15.897435897435898,-0.5128205128205146
180,-15.897435897435898,0.512820512820511
181,-15.897435897435898,1.5384615384615365
182,-15.897435897435898,2.564102564102562
183,-15.897435897435898,3.5897435897435876
184,-15.897435897435898,4.615384615384613
185,-15.897435897435898,5.641025641025639
186,-15.897435897435898,6.666666666666664
187,-15.897435897435898,7.69230769230769
188,-15.897435897435898,8.717948717948715
189,-15.897435897435898,9.743589743589741
190,-15.897435897435898,10.769230769230766
191,-15.897435897435898,11.794871794871792
192,-15.897435897435898,12.820512820512818
193,-15.897435897435898,13.84615384615384
194,-15.897435897435898,14.871794871794869
