-20.0,-20.0,-0.577361,-0.577361,0.0019919134
-20.0,-19.74842767,-0.58364874,-0.58364874,0.0019916382
-20.0,-19.49685535,-0.58987117,-0.58987117,0.0019913616
-20.0,-19.24528302,-0.5960245,-0.5960245,0.0019910831
-20.0,-18.99371069,-0.6021084,-0.6021084,0.0019908035
-20.0,-18.74213836,-0.60812336,-0.60812336,0.001990522
-20.0,-18.49056604,-0.61406916,-0.61406916,0.001990708
-20.0,-18.23899371,-0.6199462,-0.6199462,0.0019909218
-20.0,-17.98742138,-0.6257543,-0.6257543,0.0019911341
-20.0,-17.73584906,-0.63149405,-0.63149405,0.0019913765
-20.0,-17.48427673,-0.6371653,-0.6371653,0.0019916187
-20.0,-17.2327044,-0.6427684,-0.6427684,0.0019918594
-20.0,-16.98113208,-0.6483036,-0.6483036,0.0019920983
-20.0,-16.72955975,-0.6537711,-0.6537711,0.001992336
-20.0,-16.47798742,-0.6591712,-0.6591712,0.0019925719
-20.0,-16.22641509,-0.6645042,-0.6645042,0.0019928063
-20.0,-15.97484277,-0.66977036,-0.66977036,0.0019930394
-20.0,-15.72327044,-0.67497545,-0.67497545,0.001993271
-20.0,-15.47169811,-0.6801141,-0.6801141,0.001993501
-20.0,-15.22012579,-0.6851868,-0.6851868,0.0019937297
-20.0,-14.96855346,-0.6901938,-0.6901938,0.0019939567
-20.0,-14.71698113,-0.69513565,-0.69513565,0.0019941824
-20.0,-14.46540881,-0.6999679,-0.6999679,0.001994527
-20.0,-14.21383648,-0.70473415,-0.70473415,0.0019948774
-20.0,-13.96226415,-0.70943743,-0.70943743,0.0019952257
-20.0,-13.71069182,-0.7140784,-0.7140784,0.0019955721
-20.0,-13.4591195,-0.71865743,-0.71865743,0.0019959162
-20.0,-13.20754717,-0.7231751,-0.7231751,0.0019962587
-20.0,-12.95597484,-0.7276316,-0.7276316,0.001996598
-20.0,-12.70440252,-0.7320275,-0.7320275,0.001996922
-20.0,-12.45283019,-0.73636323,-0.73636323,0.0019972438
-20.0,-12.20125786,-0.7406394,-0.7406394,0.001997564
-20.0,-11.94968553,-0.74485636,-0.74485636,0.0019978818
-20.0,-11.69811321,-0.7490147,-0.7490147,0.0019981975
-20.0,-11.44654088,-0.7531148,-0.7531148,0.0019985111
-20.0,-11.19496855,-0.75715727,-0.75715727,0.001998823
