,0,1,2,3
0,1,3,0,0.1245674740484429
1,1,21,0,0.6228373702422145
2,2,13,5,0.7508650519031141
3,1,22,0,0.6176470588235294
4,1,14,0,0.5622837370242214
5,1,17,0,0.6089965397923875
6,2,20,20,0.9653979238754326
7,2,11,3,0.6193771626297578
8,1,23,0,0.6089965397923875
9,2,22,14,1.0
10,2,5,9,0.5570934256055363
11,2,13,7,0.8131487889273357
12,2,5,11,0.5916955017301038
13,1,7,0,0.33217993079584773
14,1,7,0,0.33217993079584773
15,2,1,1,0.04498269896193772
16,1,12,0,0.513840830449827
17,1,1,0,0.0
18,2,1,2,0.09169550173010381
19,1,13,0,0.5397923875432526
20,1,21,0,0.6228373702422145
21,2,1,13,0.3771626297577855
22,2,8,11,0.7318339100346021
23,2,12,2,0.6055363321799307
24,2,17,15,0.9930795847750865
25,1,22,0,0.6176470588235294
26,2,7,22,0.6314878892733564
27,2,6,4,0.4602076124567474
28,2,3,20,0.46539792387543255
29,1,17,0,0.6089965397923875
30,1,5,0,0.23529411764705882
31,1,5,0,0.23529411764705882
32,2,7,4,0.5069204152249135
33,1,3,0,0.1245674740484429
34,1,12,0,0.513840830449827
35,1,20,0,0.6245674740484429
36,2,4,6,0.42560553633217996
37,1,19,0,0.6228373702422145
38,2,4,8,0.4809688581314879
39,1,8,0,0.3754325259515571
40,2,13,22,0.8391003460207612
41,1,22,0,0.6176470588235294
42,2,21,11,0.9792387543252595
43,2,3,20,0.46539792387543255
44,1,20,0,0.6245674740484429
45,1,14,0,0.5622837370242214
46,1,4,0,0.18166089965397925
47,2,6,1,0.3304498269896194
48,1,9,0,0.41522491349480967
49,1,3,0,0.1245674740484429
